Код;Имеет ПВЗ;Максимальный вес;Страна;Регион;Город;Улица;Дом;Офис;Эл. почта;Телефоны;График работы;Наименование;Описание;Комментарий к адресу;Ближайшая остановка;Ближайшая остановка метро;
KSD7;Да;30.0;Россия;Краснодарский край;Краснодар;пр-кт Чекистов;24/1;;;+79181700764;Пн-Пт 09:00-20:00, Сб 10:00-18:00, Вс 10:00-18:00;На Чекистов;;Цокольный этаж. Находится на торце дома, ближе к ул. Чекистов, двери выходят на б-р Платановый.  Рядом магазин BodyPit и ПВЗ Юлмарта. При движении в сторону часовни на бульваре вход с левой стороны.;;;||
SAR3;Да;;Россия;Саратовская обл.;Саратов;ул. Бахметьевская;20/24;;;+78452531300;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Бахметьевской;;На Бахметьевской, между Вольской и Чапаева. Ближе к Вольской (50м) зеленый фасад, рядом парикмахерская. Вход с Бахметьевской.;Рабочая/Чапаева;;||
KVR1;Да;;Россия;Владимирская обл.;Ковров;пр-т Мира;2;;;+74922600410, +79308300410;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Мира;;"Вход с внешней стороны дома, соседняя дверь с кофейней ""Кофе Брейк"".";;;||
SRK4;Да;;Россия;Мордовия респ.;Саранск;ул. Короленко;14;;nm.zaharova@cdek.ru;+79050096495;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Короленко;;;;;||
SPB23;Да;30.0;Россия;Санкт-Петербург;Санкт-Петербург;ул. Полярников;12;;A.Semyshev@cdek.ru;+79967881452, +79967881454;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Ломоносовской;;;;ст. м Ломоносовская;||
MSK51;Да;50.0;Россия;Москва;Москва;ул. 1-я Ямская;3/7;;;+74993911663;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;Марьина Роща;;Ост.автобусная ул. Образцова(автобусы 42,84,84к,126,т18Метро Марьина Роща(Люблинско-Дмитровская линия). Выйдя из метро, двигайтесь прямо по Сущевскому Валу,далее поверните направо. Офис находится на цокольном этаже.;;Марьина Роща;||
KLC1;Да;;Россия;Брянская обл.;Клинцы;ул. Ленина;49в;;I.Karaguzin@cdek.ru;+74833627007, +79103316171;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Ленина;;;;;||
SMF4;Да;;Россия;Крым респ.;Симферополь;ул. Киевская;88;;A.Zhdanov@cdek.ru;+79787745562, +79787747102;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Киевской;;ПВЗ находится в районе Москольца, рядом с рестораном селена. Необходимо по левую сторону обойти ресторан. Отдельное крыльцо с вывеской в цокольный этаж пятиэтажного жилого дома.;;;||
AZV1;Да;;Россия;Ростовская обл.;Азов;ул. Измайлова;55;;;+79094288900;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Измайлова;;2х-этажный дом на углу Измайлова/Комсомольской, напротив футбольного поля. Вход с фасада здания.;Стадион;;||
NSK21;Да;50.0;Россия;Новосибирская обл.;Новосибирск;ул. Героев Революции;5/2;;;+79069945158;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;Первомайский;;Обходим поликлинику с правой стороны, второе здание по ходу движения. Рядом с вывеской СДЭК, вывески Ткани, а также Зоомагазин.;Поликлиника (ул. Героев революции);;||
MSK52;Да;30.0;Россия;Москва;Москва;ул. Дмитриевского;23;;;+79255788343;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;Кожухово;;Ближайшее метро Новокосино 4,4 км.Ближайшая ост.Улица Дмитриевского, 23, автобусы (14, 1227к),(210 м. Идти 3 мин) Офис находится на улице Дмитриевского дом 23 на пересечении с ул. Лухмановская, вход в середине дома со стороны перекрёстка, офисный сектор.;;Лермонтовский проспект;||
YARS5;Да;50.0;Россия;Ярославская обл.;Ярославль;ул. Республиканская;3, корп.7;;i.sotskova@cdek.ru;+74852679592;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Республиканской;;"БЦ Красный маяк. От остановки направо в 5 м проезд - вход на территорию БЦ. После шлагбаума налево к  корпусу №7. Первый подъезд, первый этаж. Вывеска «СДЭК» перед входом, рядом вывеска ""сервисный центр «BOSH». Напротив магазин ""Технопоинт"".";Октябрьская площадь;;||
UFA4;Да;;Россия;Башкортостан респ.;Уфа;пр-т Октября;111;;ufa-cdek@cdek.ru;+73472570707, +73472980098;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;Проспект Октября - Театр Кукол;;"""Проспект Октября, д.111, ост. Т. Кукол. на Красной линии около цветов. Вывеска CDEK - экспресс-доставка";театр Кукол;;||
SKB1;Да;;Россия;Краснодарский край;Славянск-на-Кубани;ул. Ленина;38;;snk@edostavka.ru;+78614641230;Пн-Пт 09:00-19:00, Сб 09:00-16:00;На Ленина;;;;;||
WLK1;Да;30.0;Россия;Московская обл.;Щелково;пер. 1-й Советский;"25 территория БЦ ""Славия""";въезд под шлагбаум, ВХОД №7;;+74957894599, +79296330375;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На 1-м Советском;;;;;||
MSK54;Да;75.0;Россия;Москва;Москва;ул. Луганская;5;1;msk54@cdek.ru;+79296536800, +79055206599;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;Царицыно;;Последний вагон из центра, выход № 5. Остановка «Метро Царицыно», автобусы: 182, 203, 221, 245, 269, 289, 389, 679, 756, 761, 1020к. 400 метров в сторону Кавказского бульвара и метро «Кантемировская». Офисное здание напротив входа в магазин Перекресток;Детская поликлиника;Царицыно;||
MSK53;Да;30.0;Россия;Москва;Москва;пер. Большой Сухаревский;15, стр.2;;R.Vasilevsky@cdek.ru;+74951208178;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;Сухаревская;;м. Сухаревская и м.Цветной бульвар (7мин 550м). Выйдя из метро Цветной Бульвар, поверните направо. Перейдите на другую сторону бульвара на первом пешеходном переходе. Прямо. За домом 13с2 ( между домами 13с2 и 15с1 ) поверните налево, во двор. Перед шлагбаумом держитесь правой стороны и увидите офис;пер. Даев;Ст. м. Сухаревская, ст. м. Цветной бульвар, ст. м. Трубная;||
YURZ1;Да;;Россия;Челябинская обл.;Юрюзань;ул. Зайцева;8;;r.nikulina@cdek.ru;+79191131401;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Зайцева;;;;;||
MSK55;Да;50.0;Россия;Москва;Москва;наб. Фрунзенская;30, стр.2 ;;;+74953748990;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;Фрунзенская;;"Супермаркет ""Билла"" вход через левое крыло, на первом этаже, офис 104.";;Ст. м. Фрунзенская, Сокольническая ветка.;||
UCHL1;Да;;Россия;Башкортостан респ.;Учалы;ул. Башкортостан;7;;;+79677500405;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На ул. Башкортостан;;;;;||
AST9;Да;30.0;Россия;Астраханская обл.;Астрахань;ул. Селенского;13;103;r.mamedov@cdek.ru;+78512200499;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Селенского;;;Призыв;;||
SOL2;Да;;Россия;Белгородская обл.;Старый Оскол;ул. Архитектора Бутовой;12;;;+79803727799, +79202003243;Пн-Пт 09:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Бутовой;;;;;||
SPB24;Да;100.0;Россия;Санкт-Петербург;Санкт-Петербург;пр-т Юрия Гагарина;2 корп.3;;smelkov.s@cdek.ru;+78129351200;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Гагарина;;ТЦ «Благодатный», бесплатная парковка слева.;;се. м. Парк Победы;||
PTG2;Да;30.0;Россия;Ставропольский край;Пятигорск;ул. Бунимовича;7;;s.prasolov@cdek.ru;+79897894004, +788793389404;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Бунимовича;;Здание напротив Центрального Автовокзала.;;;||
SPB25;Да;30.0;Россия;Санкт-Петербург;Санкт-Петербург;ул. Чайковского;34;;d.vanyshina@cdek.ru;+78129840002;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-16:00;Чернышевская;;Вход под арку.;;ст. м  Чернышевская;||
VLK8;Да;300.0;Россия;Приморский край;Владивосток;пр-т Красного Знамени;34;;v.mutovin@cdek.ru;+79623385880;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Красного Знамени;;"Тополиная аллея, от остановки автотранспорта ""Дальпресс"" 100м. Высотный дом из красного кирпича, отдельный вход справа от 2-го подъезда. От остановки ""Инструментальный завод"" 150м вниз по тополиной аллеи.";Дальпресс, Инструментальный завод;;||
KSF2;Да;;Россия;Свердловская обл.;Красноуфимск;ул. Советская;35;;;+79220280049;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Советской;;"Центр города. Вход во внутренний двор со стороны ""ТЦ Октябрь"".";ТЦ Октябрь;;||
VZM1;Да;;Россия;Смоленская обл.;Вязьма;ул. Комсомольская;17;;d.tochilkin@cdek.ru;+79203009580;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Комсомольской;;Здание нового ТЦ, маг. «Разница». Вход со стороны ул. Комсомольская, соседняя дверь маг. «Красное и Белое».;Фроловское кладбище;;||
MSK56;Да;;Россия;Москва;Москва;ул. Добролюбова;21А, корп.А;4;O.Antonov@cdek.ru;+79660658642;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;Фонвизинская;;Ближайшая ст.метро Фонвизинская.Ближайшая ост.Огородный проезд, автобусы (239,76,т3),(290м, идти 4 мин).Выйдя из метро, двигайтесь прямо в противоположном направлении.Прямо по улице Добролюбова.Поверните направо.Прямо, нужный Вам дом находится в глубине.;;Фонвизинская;||
TLT5;Да;;Россия;Самарская обл.;Тольятти;ул. Карла Маркса;51;;;+79033338037;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Маркса;;Между ТЦ Рубин и ТЦ Космос, вход со стороны улицы.;;;||
NFM2;Да;;Россия;Московская обл.;Наро-Фоминск;пл. Свободы;1а;;s.y.sergeev@cdek.ru;+79859117007, +79851997007;Пн-Пт 10:00-20:00, Сб-Вс 10:00-18:00;На пл. Свободы;;Двигаться в сторону церкви. За магазином «Фаэтон» свернуть направо на территорию. Вы увидите белое 2-этажное здание. Вход слева, с торца здания.;Площадь Свободы (Рынок);;||
ZLN2;Да;30.0;Россия;Московская обл.;Зеленоград;пл. Крюковская;1а;;R.Gran@cdek.ru;+79779883386, +79999168070;Пн-Пт 10:00-20:00, Сб 10:00-16:00;На Крюковской;;ТЦ Крюковская Эстакада;;;||
SST1;Да;;Россия;Санкт-Петербург;Сестрорецк;ул. Мосина;8а;;Y.Topchii@cdek.ru;+79319800616, +78123748494 110;Пн-Пт 10:00-20:00, Сб 10:00-16:00;На Мосина;;;;;||
PRM4;Да;30.0;Россия;Пермский край;Пермь;ул. Мира;9;;;+73422240377;Пн-Пт 09:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Мира;;;;;||
VLG8;Да;;Россия;Волгоградская обл.;Волгоград;б-р Энгельса;29;;n.vasilev@cdek.ru;+78442609005, +78442609007;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Энгельса;;;;;||
SPB26;Да;30.0;Россия;Санкт-Петербург;Санкт-Петербург;пр-т Комендантский;4, корп.2, лит.А ;;v.bosenko@cdek.ru;+78123747424;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Комендантском;;"Мебельный Центр ""Круиз"", Цокольный этаж, Секция 001. Вход со стороны Туполевской улицы";;ст. м Комендантский проспект;||
KRP1;Да;;Россия;Краснодарский край;Кропоткин;ул. Красная;260;267;;+79187120405;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Красной;;;;;||
MSK59;Да;30.0;Россия;Москва;Москва;ул. Гурьянова;30;;o.haritonova@cdek.ru;+79299628300;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;Печатники;;Ближайшая остановка ул. Гурьянова, 55 (292,426),(1 мин. 61 м).Ближайшая ст.метро Печатники. Выйдя из метро, пройдите прямо до автобусной остановки.пройдите назад к Торговому Центру.Войдите в торговый центр.Офис расположен на цокольном этаже.Вы пришли!;Автобусы 292, 426 до ост. ул. Гурьянова, д.55 (4-я остановка);"Ст. м. ""Печатники"", Люблинско-Дмитровская ветка метро.";||
GLV2;Да;;Россия;Удмуртия респ.;Глазов;ул. Молодой Гвардии;5а;;;+79124437205;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Молодой Гвардии;;Площадь Свободы, рядом с остановкой. Большие вывески снаружи здания. Вход со двора, первый этаж, все по стрелкам.;Сапсан;;||
VRN4;Да;100.0;Россия;Воронежская обл.;Воронеж;ул. Генерала Лизюкова;17а;;s.bogma@cdek.ru;+74733004128;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Генерала Лизюкова;;ТЦ «Калинка»;Остановка Кинотеатр «Мир»;;||
KRZH1;Да;;Россия;Владимирская обл.;Киржач;ул. Гагарина;15;;;+79056175105;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Гагарина;;Городская баня. Вход с левой стороны.;;;||
JLA4;Да;70.0;Россия;Марий Эл респ.;Йошкар-Ола;ул. Петрова;24а;;yola@cdek.ru;+78362374374;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Петрова;;В направлении ул. Ураева по правую сторону в здании магазина Томас. Отдельный вход, вывеска СДЭК.;Госархив;;||
SVT6;Да;50.0;Россия;Севастополь;Севастополь;ул. Генерала Острякова;144;А-27;S.Shinkarenko@cdek.ru;+79781119082;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На  Генерала Острякова;;;;;||
CHEL8;Да;100.0;Россия;Челябинская обл.;Челябинск;ул. 50-летия ВЛКСМ;20;;V.Valeeva@cdek.ru;+79518000009, +79000888850;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На 50-летия ВЛКСМ;;;;;||
PPS1;Да;;Россия;Московская обл.;Павловский Посад;пр. Большой Железнодорожный;21/2;2;a.pogoncev@cdek.ru;+79850513130;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Большом Железнодорожном;;Прямо в сторону Вокзала по ул. Большой железнодорожный проезд чуть более 200м. Справа — желтое двухэтажное здание.;Выставкина;;||
NSK23;Да;30.0;Россия;Новосибирская обл.;Новосибирск;мрн Горский;53;;E.Kostyulina@cdek.ru;+79130095398, +79628421718;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Горском;;;;;||
ZLG1;Да;;Россия;Красноярский край;Зеленогорск;ул. Советская;6;;a.sofronov@cdek.ru;+79832056714;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Советской;;Центральный вход, в тамбуре дверь направо.;Ближайшие остановки: Дворец культуры, Кафе Лакомка.;;||
PGN1;Да;;Россия;Приморский край;Пограничный;ул. Вокзальная;16;;n.a.chaplygina@cdek.ru;+74234527600;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Вокзальной;;;;;||
SAM6;Да;;Россия;Самарская обл.;Самара;ул. Вольская;71/42;1 этаж;s.zheleznikov@cdek.ru;+78462500401;Пн-Вс 09:00-20:00;На Вольской;вход со стороны ул. Вольская;Перекресток ул. Вольская и ул. Ново-Вокзальная. Если двигаться из города (со стороны улицы 22 партсъезда) в сторону Металлурга (проспекта Кирова) по улице Вольская, последний дом перед перекрестком по правой стороне (по ходу движения). Отдельный вход, по центру дома.;;;||
VNG2;Да;;Россия;Новгородская обл.;Великий Новгород;ул. Великая;6, корп.1;;a.frolov@cdek.ru;+78162787868, +78162780160;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Великой;;;;;||
MSK60;Да;30.0;Россия;Москва;Москва;ул. Раменки;23;;t.polzovskaya@cdek.ru;+74959324430;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;Раменки;;Ближайшая остановка автобуса ул. Раменки, 16 (494,715,715д).(идти 4 мин. 270 м).Ближайшая ст.метро Раменки. Выйдя из метро, двигайтесь прямо вдоль дороги .Перед первым перекрестком поверните налево. Перейдите две дороги. После перехода направо,затем прямо;;Раменки;||
NZHV2;Да;30.0;Россия;Ханты-Мансийский авт. округ;Нижневартовск;ул. Мира;96;;buh-nizhnevartovsk@cdek.ru;+73466686291;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Мира;;;Мира;;||
MTN3;Да;30.0;Россия;Москва;Митино;пер. Ангелов;8;;;+74997555271, +79264777115;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Ангелов;;;ул. Барышиха, 40;Ст. м. Пятницкое шоссе;||
BRG1;Да;;Россия;Воронежская обл.;Борисоглебск;ул. Юбилейная;96;;a.sterlikov@cdek.ru;+74735464939;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Юбилейной;;;Рынок;;||
PTG3;Да;;Россия;Ставропольский край;Пятигорск;ул. Ермолова;12а;;sale-patigorsk@cdek.ru;+78793317905, +78793317605;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Ермолова;;;Жемчужина, Обувная фабрика;;||
VLG9;Да;;Россия;Волгоградская обл.;Волгоград;ул. Рабоче-крестьянская;44/1;;volgograd@edostavka.ru;+78442551500, +78442551501, +7844255150;Пн-Пт 08:00-20:00, Сб 10:00-18:00, Вс 10:00-14:00;На Рабоче-Крестьянской;Рабоче-Крастьянская ул., д.44/1 (ост.ТЮЗ, тер-рия Гормолзавода, вход с ул.Иркутской, с Первой Продольной первый поворот налево).;;;;||
EKB13;Да;;Россия;Свердловская обл.;Екатеринбург;ул. Малышева;145б;;A.Chashhin@cdek.ru;+73433747585;Пн-Пт 09:00-20:00, Сб-Вс 10:00-16:00;На Малышева;;;Комсомольская;;||
EKB14;Да;;Россия;Свердловская обл.;Екатеринбург;ул. Норильская;77;;director-ebrg@cdek.ru;+73433790202;Пн-Пт 08:00-20:00, Сб 08:00-18:00, Вс 08:00-20:00;На Норильской;;База Звезда;;;||
MSK61;Да;150.0;Россия;Москва;Москва;пр. Локомотивный;21;106;k.kirmasov@cdek.ru;+79096655237;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;Петровско-Разумовская;;"Ближайшая ост.автобуса проезд Локомотивный (платформа Окружная), автобус №282.Ближайшая ст.метро МКЦ ""Окружная"".Перейдите дорогу по пешеходному переходу. И двигайтесь прямо. Вход в офисный центр в середине красного кирпичного здания.Проходная, налево";;Петровско-Разумовская;||
EKB15;Да;45.0;Россия;Свердловская обл.;Екатеринбург;ул. Сибирский тракт;12, стр.3;109/2 ;kvartal-ekb@cdek.ru;+73433455614;Пн-Пт 09:00-20:00, Сб-Вс 10:00-18:00;На Сибирском тракте;;БЦ Квартал;БК Квартал, ДК Гагарина, Комсомольская (ул. Куйбышева);;||
RND8;Да;50.0;Россия;Ростовская обл.;Ростов-на-Дону;ул. 50 лет Ростсельмаша;7б/2б;;a.ushakova@cdek.ru;+78632940708;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На 50-летия Ростсельмаша;;Рядом с отелем Белладжио;Завод Копнитель, СииТО;;||
KSD8;Да;;Россия;Краснодарский край;Краснодар;ул. Вишняковой;3;;ksd@edostavka.ru;+78612040064;Пн-Пт 08:00-20:00, Сб-Вс 10:00-16:00;На Вишняковой;;;;;||
STR2;Да;;Россия;Башкортостан респ.;Стерлитамак;ул. Ленина;44;;l.ovchinnikova@cdek.ru;+73473309330;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Ленина;;;Пр-т Ленина;;||
PTG4;Да;30.0;Россия;Ставропольский край;Пятигорск;ул. 295 Стрелковой Дивизии;1а;;k.zakaidze@cdek.ru;+79897880405;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Стрелковой Дивизии;;;;;||
RZN6;Да;;Россия;Рязанская обл.;Рязань;ул. Дзержинского;64/1;;;+74912520202, +79537453366;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Дзержинского;;;;;||
SMF5;Да;1000.0;Россия;Крым респ.;Симферополь;ул. Гурзуфская;8;;;+79781332141;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Гурзуфской;;;Автовокзал(Центральный);;||
RND9;Да;30.0;Россия;Ростовская обл.;Ростов-на-Дону;пл. Свободы;16;;rnd@cdek.ru;+78632098745;Пн-Пт 09:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Свободы;;;пл. Свободы;;||
KTN1;Да;30.0;Россия;Московская обл.;Котельники;ш. Новорязанское;6;14;k.titov@cdek.ru;+74952301771;Пн-Пт 10:00-19:00, Сб 10:00-16:00;Новорязанское шоссе;;;ТЦ Selgros, Авторынок Автогарант;Ст. м. Котельники;||
NSK25;Да;40.0;Россия;Новосибирская обл.;Новосибирск;пр-кт Дзержинского;1/1;;s.balde@cdek.ru;+79930070444;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;Березовая Роща;;Цоколь под вывеской «Белорусские кухни»;ПКИО Березовая роща;Ст. м. Березовая роща;||
TII1;Да;;Россия;Московская обл.;Томилино;ул. Гаршина;11/3;;d.tochilkin@cdek.ru;+79295755597;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Гаршина;;ТЦ РТС;ТЗПП;;||
DMD1;Да;;Россия;Московская обл.;Домодедово;ул. Кирова;7 корп. 1;;domodedovo@cdek.ru;+74993917583;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Кирова;;Если смотреть с ул.Кирова, офис находится с левого торца дома под Аптекой в цоколе;МФЦ;;||
SRV5;Да;;Россия;Свердловская обл.;Серов;ул. Народная;50ж;;;+79220348348;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Народной;;;;;||
SPB27;Да;100.0;Россия;Санкт-Петербург;Санкт-Петербург;ул. Белы Куна;20, корп.1;40;T.Arutyunyan@cdek.ru;+78129156076;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;Международная;;"Ближайшая  остановка ""Пражская улица""";ул. Пражская;ст. м Международная;||
KSK5;Да;;Россия;Красноярский край;Красноярск;ул. Щорса;27;104;a.kudinkin@cdek.ru;+73912408938;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Щорса;;;Стадион Авангард;;||
KST7;Да;;Россия;Костромская обл.;Кострома;ул. Сутырина;15а;;kostroma@cdek.ru;+74942641163;Пн-Пт 09:00-19:00, Сб 09:00-16:00, Вс 10:00-16:00;На Сутырина;примечание к адресу: отдельно стоящее одноэтажное кирпичное здание.;;;;||
KSD9;Да;;Россия;Краснодарский край;Краснодар;ул. Стасова;184;11;;+79882439848, +78612439848;Пн-Пт 09:00-20:00, Сб-Вс 10:00-16:00;На Стасова;;;Хладокомбинат;;||
KSK6;Да;50.0;Россия;Красноярский край;Красноярск;ул. Киренского;89;;;+73912717971;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Киренского;;;Комсомольская площадь;;||
NCHL6;Да;;Россия;Татарстан респ.;Набережные Челны;пр-т Сююмбике;д.61/2 (45/16);101;;+78552927717;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Сююмбике;;;;;||
TMZ1;Да;30.0;Россия;Башкортостан респ.;Туймазы;ул. Пугачева;19б;4;okt@cdek.ru;+79374973220, +79174873103;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Пугачева;;;;;||
VZN1;Да;;Россия;Владимирская обл.;Вязники;ул. Ленина;20;;A.Radkevich@cdek.ru;+79300331200, +74923331200;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Ленина;;;;;||
KDM1;Да;;Россия;Пермский край;Кудымкар;ул. Калинина;39а;;e.muhin@cdek.ru;+73426048242;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Калинина;;;;;||
SLT5;Да;;Россия;Башкортостан респ.;Салават;ул. Ленина;5;;;+73476364040;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Ленина;;;;;||
MSK64;Да;30.0;Россия;Москва;Москва;ш. Каширское;22, корп.3, стр.11;;E.Gorshkov@cdek.ru;+79039709941;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;Каширская;;Ближайшая ост.автобуса Онкологический центр (164,298,487,742,820,с8,т71).Ближайшая ст.метро Каширская, выход к Торговому Центру.Выйдя из метро, пройдите прямо.Затем налево. По пешеходному переходу перейдите дорогу и двигайтесь прямо вдоль Каширского шоссе;;Каширская;||
MSK62;Да;30.0;Россия;Москва;Москва;ул. Кировоградская;15;1г-7;E.gagin@cdek.ru;+79259353844;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Пражской;;Ближайшая ост.автобуса метро Пражская (160,296,609,609к,635,680,708,770,796,797), (170 м, идти 2 мин).Ближайшая ст.метро Пражская. Выйдя из метро, поверните направо к торговому центру. Вам нужен центральный вход в ТЦ.В ТЦ спуститесь по лестнице и направо;;Пражская;||
MSK63;Да;30.0;Россия;Москва;Москва;ул. Генерала Антонова;3а;2;SV.Volkov@cdek.ru;+74957927255;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;Беляево;;Ближайшая ост.автобуса Деревлёво (72,196,235,555,699,т72),(350 м, идти 4 мин).Ближайшая ст.м Беляево. Из метро двигайтесь вдоль Профсоюзной улицы, затем прямо. На первом светофоре перейдите дорогу и поверните направо на ул Генерала Антонова. дом №3 налево;;Беляево;||
NSK27;Да;75.0;Россия;Новосибирская обл.;Новосибирск;пр-т Дзержинского;34/1;105;vl.mironov@cdek.ru;+73832279625;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;ДК Чкалова;;;Гостиница Северная;;||
KSK7;Да;150.0;Россия;Красноярский край;Красноярск;ул. Мате Залки;7;2;r.soloneckiy@cdek.ru;+73912950357, +73912809800;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Мате Залки;;помещение 341;"ул. Шумяцкого, ТК ""Махаон"" , 11-й микрорайон";;||
KSD10;Да;;Россия;Краснодарский край;Краснодар;ул. Уральская;129;;m.sobolev@cdek.ru;+78619911009;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Уральской;;;Тюляева;;||
PET2;Да;30.0;Россия;Санкт-Петербург;Петергоф (Петродворец);ул. Константиновская;21;;v.savincev@cdek.ru;+78129058728;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Константиновской;;;ул. Константиновская;;||
YARTS1;Да;;Россия;Смоленская обл.;Ярцево;ул. Советская;20;;n.sharshapina@cdek.ru;+79203100807;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Советской;;;Автовокзал, Фабрика Кухня;;||
KIR1;Да;;Россия;Ленинградская обл.;Кировск, Ленинградская обл.;ул. Северная;1в;;M.Martynov@cdek.ru;+79626864220;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Северной;;;"ул. Северная, завод ""Ладога""";;||
STR3;Да;;Россия;Башкортостан респ.;Стерлитамак;ул. Мира;14;;PFO@cdek.ru;+79174670707;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Мира;;;Ардо;;||
TYUM11;Да;30.0;Россия;Тюменская обл.;Тюмень;ул. Николая Зелинского;23;;o.rybalko@cdek.ru;+73452684243;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Николая Зелинского;;;Бориса Опрокиднева;;||
